"182","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","caractéristiques de ces 6 cas sont précisées dans le tableau 2 (Tableau 2). Dans les 66 cas où le ou les ganglions sentinelles étaient envahis, le curage complémentaire comportait une atteinte ganglionnaire 26 fois (39, 4 %). Le taux de faux négatifs du ganglion sentinelle a donc","Oui","CT","FR/Cancer du sein/Scientifique/page34","curage complémentaire comportait une atteinte","atteinte ganglionnaire","curage complémentaire"
"183","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Le curage axillaire complémentaire a été réalisé 66 fois dans le même temps opératoire que le prélèvement ganglionnaire sentinelle (60, 5 %) et 43 fois dans un deuxième temps opératoire. Il comportait une atteinte ganglionnaire 30 fois parmi les 72 cas avec une atteinte ganglionnaire (41, 7 %) : 5 fois","Oui","anaphore. CT","FR/Cancer du sein/Scientifique/page34","temps opératoire. Il comportait une atteinte","atteinte ganglionnaire","il = curage axilliaire complémentaire"
"184","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion",". Le formestane (Lentaron ®) et l’exémestane (Aromasine ®) appartiennent à cette famille. Les inhibiteurs de type II, non stéroïdiens, sont des dérivés azolés ; ils comprennent l’anastrozole (Arimidex ®) et le létrozole (Femara ®). L’anastrozole, le létrozole et l’exémestane","Oui","CT","FR/Cancer du sein/Scientifique/page37","dérivés azolés ; ils comprennent l’anastrozole","anastrazole, létrozole","inhibiteurs  de type II"
"185","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","chez des patientes ménopausées traitées par tamoxifène pendant 2 à 3 ans : un bras consistait en la poursuite du tamoxifène pendant 2 à 3 ans alors que l’autre bras comportait l’administration d’anastrozole pendant le reste des 5 années d’hormonothérapie adjuvante. Les objectifs comportaient les taux de récidive,","Plutôt oui","comporter = avoir en son sein","FR/Cancer du sein/Scientifique/page37","bras comportait l’administration","administration d'anastrazole","bras"
"186","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","la poursuite du tamoxifène pendant 2 à 3 ans alors que l’autre bras comportait l’administration d’anastrozole pendant le reste des 5 années d’hormonothérapie adjuvante. Les objectifs comportaient les taux de récidive, la survenue d’un deuxième cancer primitif (incluant un deuxième cancer du sein) et les","Plutôt oui","au moins un CT","FR/Cancer du sein/Scientifique/page37","objectifs comportaient les taux","taux de récidive, survenue d'un deuxième cancer","objectifs"
"187","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Les stratégies utilisées, variables d’un essai à l’autre, rendent difficile une interprétation globale des résultats. Une chimiothérapie d’induction est utilisée dans 5 des 6 essais, comportant une anthracycline , un taxane ou l’association des deux et d’une durée variable : 6 cycles (3 études)","Oui","CT, pprésent","FR/Cancer du sein/Scientifique/page38","essais, comportant une anthracycline","anthracycline, taxane ou association des deux","essais"
"188","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","la chimiothérapie néoadjuvante est actuellement le plus souvent proposée dans cette indication, une radiothérapie et une hormonothérapie préopératoire sont également possibles. Cependant, tout traitement préopératoire impose un examen clinique initial précis comprenant la mesure des dimensions tumorales et de la distance de la tumeur par rapport au mamelon. Un bilan radiologique mammo-échographique est","Oui","CT","FR/Cancer du sein/Scientifique/page403","examen clinique initial précis comprenant la mesure","mesure des dimensions tumorales","examen clinique initial précis"
"189","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","reste ensuite indispensable, par chirurgie et / ou irradiation. 4. Nouvelles approches thérapeutiques 4. 1. Ganglion sentinelle et cancer du sein Le traitement conservateur du cancer du sein comporte le traitement des ganglions axillaires. Afin de diminuer la morbidité du curage axillaire classique, le concept de ganglion sentinelle a","Oui","CT","FR/Cancer du sein/Scientifique/page403","cancer du sein comporte le traitement","traitement des ganglions axilliaires","traitement conservateur du cancer du sein"
"190","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","sécurité qui doivent être spécifiées lors d'une radiothérapie externe. Le premier volume est le volume tumoral macroscopique ou « Gross Tumor Volume » (GTV) selon la terminologie anglo-saxonne, qui comprend les zones tumorales palpables ou visibles en imagerie. Autour du volume tumoral macroscopique, le volume cible anatomoclinique ou « Clinical","Oui","CT","FR/Cancer du sein/Scientifique/page404","terminologie anglo-saxonne, qui comprend les zones","zones tumorales palpables ou visibles en imagerie","GTV"
"191","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","pour les troubles des règles et la ménopause. Un essai en double aveugle randomisé contre placebo montre un taux de réponse de 27 %, comparable à celui du placebo. Ce travail comprend un dosage de la FSH et de la LH et une recherche des effets secondaires qui ne sont pas modifiés par la","Plutôt oui","un LST + CT","FR/Cancer du sein/Scientifique/page49","placebo. Ce travail comprend un dosage","dosage de la FSH et de la LH","travail"
"192","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion",") et du score de dépression [35]. La fluoxétine entraîne un peu plus de xérostomie (p = 0, 07) mais améliore les troubles du sommeil. Ce travail comporte un quart de perdues de vue car seulement 66 des 81 patientes incluses sont évaluables après le crossover. De plus,","Plutôt oui","un LST + CT","FR/Cancer du sein/Scientifique/page49","sommeil. Ce travail comporte un quart","un quart de perdues de vue","travail"
"193","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","La deuxième grande étude randomisée italienne a concerné 1243 femmes opérées d’un cancer du sein localisé (1985–1986) dans 12 centres [15]. La surveillance intensive comportait une radiographie de thorax et une scintigraphie osseuse tous les six mois. Un plus grand nombre de métastases à distance a","Oui","CT","FR/Cancer du sein/Scientifique/page501","surveillance intensive comportait une radiographie","radiographie de thorax et une scintigraphie osseuse","surveillance intensive"
"194","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","C'est la mammographie qui permet de réaliser le diagnostic » Un dépistage du cancer du sein peut être proposé chez les femmes de moins de 50 ans : il comprend un examen clinique régulier et une mammographie réalisée tous les ans ou tous les deux ans. Cette mammographie est éventuellement complétée","Oui","anaphore. CT","FR/Cancer du sein/Vulgarisation/page16","ans : il comprend un examen","examen clinique régulier et mammographie","dépistage du cancer du sein"
"195","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","si l'attente des résultats est stressante » En quoi consiste la surveillance après le traitement ? La surveillance consiste à consulter le médecin à un rythme déterminé. Les consultations comprennent un interrogatoire , suivi d'un examen physique. L'interrogatoire a pour but de rechercher des symptômes qui font craindre une","Plutôt oui","","FR/Cancer du sein/Vulgarisation/page16","consultations comprennent un interrogatoire","interrogatoire","consultations"
"196","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","un en oblique, ce qui permet de comparer les deux côtés de chaque sein. C'est ce que l'on appelle l'examen mammographique de base. L' examen de dépistage comporte une mammographie de base. Entre 50 et 74 ans, cet examen peut être réalisé dans le cadre du programme de","Oui","CT","FR/Cancer du sein/Vulgarisation/page19","examen de dépistage comporte une mammographie","mammographie","examen de dépistage"
"197","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","d'imagerie qui visualise le mieux la lésion : mammographie, échographie et éventuellement IRM. (voir le diaporama : "" Comprendre les examens du sein "") Le bilan d'extension comprend la mammographie de l'autre sein et pour rechercher d'éventuelles métastases à distance, des scanners thoraciques et abdominaux, une","Oui","CT","FR/Cancer du sein/Vulgarisation/page24","bilan d'extension comprend la mammographie","la mammographie de l'autre sein","bilan d'extension"
"198","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","un en oblique, ce qui permet de comparer les deux côtés de chaque sein. C'est ce que l'on appelle l'examen mammographique de base. L' examen de dépistage comporte une mammographie de base. Entre 50 et 74 ans, cet examen peut être réalisé dans le cadre du programme de","Oui","CT","FR/Cancer du sein/Vulgarisation/page41","examen de dépistage comporte une mammographie","mammographie de base","examen de dépistage"
"199","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","bilan biologique Il est alors effectué avant de débuter tout traitement. Généralement, il comprend, les dosages suivants : 4 Un hémogramme (NFS), 4 Un bilan hépatique comprenant le dosage des phosphatases alcalines, gamma GT, des 5 'nucléotidases, 4 Un ionogramme sanguin, comprenant, en","Oui","CT. Pprésent","FR/Cancer du sein/Vulgarisation/page52","bilan hépatique comprenant le dosage","dosage des phosphatases alcalines, gamma GT, …","bilan hépathique"
"200","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Le carcinome in situ est donc un stade d'évolution intermédiaire entre l'hyperplasie atypique des cellules du sein, qui est bénigne, et le cancer invasif qui comporte un risque d'extension en dehors du sein. Le carcinome canalaire in situ ou « CCIS » Le contexte … Avant","Plutôt oui","au moins un CT… risque ?","FR/Cancer du sein/Vulgarisation/page55","cancer invasif qui comporte un risque","risque d'extension","cancer invasif"
"201","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","immunofluorescence, o pN0 (mol-) ou (mol +) ; « mol », pour étude moléculaire, 4 pN1 est subdivisé en pN1a, pN1b, pN1c 4 pN2 comprend pN2a et pN2b 4 pN3 est subdivisé en trois : pN3a, pN3b, pN3c. Au stade « 0 »","Plutôt oui","classification. Mais pertinent ? Très très précis","FR/Cancer du sein/Vulgarisation/page55","pN1c 4 pN2 comprend pN2a","pN2a et pNeb","pN2"
"202","X {comprendre/abriter/comporter/compter/inclure/intégrer} DET Y","TYPE DE LIAISON","Inclusion","Le traitement « conservateur » du cancer du sein comporte l’exérèse complète de la tumeur, le traitement des ganglions axillaires et la radiothérapie du sein conservé. ","Oui","CT","FR/Cancer du sein/Vulgarisation/page56","cancer du sein comporte l’exérèse","exérèse complète de la tumeur","traitement conservateur du cancer du sein"
